,Count,Percent
Cet,327,0.0038332590908025225
Cette,147,0.0017232082151314094
Elle,227,0.0026610086043185707
En,303,0.003551918974046374
Il,560,0.00656460272431013
La,472,0.005533022296204253
Le,532,0.006236372588094624
Les,284,0.0033291913816144232
Pour,157,0.0018404332637798045
Vous,696,0.008158863385928306
article,325,0.0038098140810728437
au,383,0.004489719363233536
autre,24,0.00028134011675614846
avec,281,0.0032940238670199047
commune,51,0.0005978477481068154
concernant,312,0.00365742151782993
connaissances,690,0.008088528356739268
dans,511,0.005990199985932994
des,899,0.010538531873490728
du,1019,0.011945232457271469
en,2010,0.02356223477832743
est,1907,0.022354816777248963
et,1482,0.017372752209692168
externes,34,0.00039856516540454366
famille,36,0.00042201017513422267
forme,32,0.0003751201556748646
fut,149,0.0017466532248610882
habitants,151,0.0017700982345907673
il,380,0.004454551848639017
jeu,42,0.0004923452043232597
la,1915,0.02244859681616768
le,1612,0.018896677842121304
les,869,0.010186856727545542
nom,162,0.001899045788104002
ou,230,0.0026961761189130892
par,428,0.005017232082151314
partager,688,0.008065083347009588
pas,147,0.0017232082151314094
plus,261,0.0030595737697231146
plusieurs,38,0.00044545518486390173
pour,389,0.004560054392422573
pouvez,692,0.008111973366468947
propose,25,0.000293062621620988
que,190,0.0022272759243195084
qui,201,0.002356223477832743
sa,172,0.002016270836752397
se,261,0.0030595737697231146
son,249,0.00291890371134504
sont,254,0.002977516235669238
sur,337,0.003950484139450918
un,804,0.009424893911330973
une,914,0.01071436944646332
ville,218,0.0025555060605350153
voir,153,0.0017935432443204463
vos,690,0.008088528356739268
Álvaro,40,0.00046890019459358074
ébauche,307,0.0035988089935057323
